doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4250523,-0.001662621363
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4215336105970537,-0.0017569714729992062
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.41801492120661965,-0.0018575349850706994
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41449623181618556,-0.001964778646486238
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4109775424257515,-0.0020792086657039814
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40766908692999765,-0.0021938474053470767
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.40464976802501645,-0.0023048541389634543
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4019164004960024,-0.0024109523922412174
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3994389173773311,-0.0025119979618768978
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3971831067088975,-0.002608260670240243
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3951177704016166,-0.0027001335397816525
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39321631903703363,-0.002788021802180555
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3914565959969129,-0.0028723031569624336
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38982023617460815,-0.002953316107972811
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.38829198618896094,-0.0030313592151384604
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3868591104006641,-0.003106694319157897
1,8.5,2.7142260421330526,0.22022143492965734,33.90338947276598,False,0.13943624536149132,0.3117731344033285,0.3855109049665643,-0.0031795509085373428
1,9.0,3.8545285909180462,0.3956643012486915,33.32641749476659,True,0.17236545945914244,0.6667862769566185,0.384223597402747,-0.0032509569653338282
1,9.5,4.146166611047096,0.49710594911468015,32.94287428206002,True,0.1682852524516344,0.9127025550805253,0.3829895082537868,-0.0033211485038198017
1,10.0,4.891638106565947,0.5595877338884511,32.956710941983275,False,0.1924579196722506,0.6378359687131421,0.3818070746287706,-0.0033900425000753446
1,10.5,5.756824607525245,0.7684398422492575,32.56552683986226,False,0.21863048591908146,1.2185461876263295,0.3806860533320296,-0.003456880857542816
1,11.0,6.487625605509763,0.8607770102779605,32.28160174278639,False,0.23407213277313327,1.004835557886003,0.37959376112472437,-0.0035234687903699905
1,11.5,7.184242766520274,1.0994339771829957,31.908681018049084,False,0.24015333173633027,1.3629156257431452,0.37855104450156946,-0.0035884148538131897
1,12.0,7.212885973563736,1.1239218464963374,31.745603006864293,False,0.23515349031481775,1.2483705419665259,0.37753422484432686,-0.0036530778506083995
1,12.5,7.4094495901862825,1.0435243614515723,31.738464187616664,False,0.24159351102063786,0.7613730785235499,0.3765589245202774,-0.003716363223773421
1,13.0,7.51243676581203,1.091389566181802,31.64660341888933,False,0.24298678511730623,0.8487645919242508,0.37563535397568104,-0.0037774573971154617
1,13.5,7.07400298799802,0.9897662413698234,31.742054233153834,False,0.2303890107475799,0.6186537934217962,0.37474141615961976,-0.0038376944197111196
1,14.0,5.718562863002036,0.7298266077884275,32.20717867766473,False,0.18980686604539093,0.30915152682436126,0.37388764265331886,-0.003896259034345107
1,14.5,4.9280810262657315,0.6214108099148775,32.293059414505194,False,0.16655411997776742,0.21482220767501028,0.37307846725697014,-0.003952715439787321
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.13102458125223407,0.37230181994955064,-0.004007789313901132
1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.37156985302211537,-0.004060504404058291
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37086510518921767,-0.004112014398106403
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3701825139900201,-0.004162622972247791
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36952076683957863,-0.004212371464788127
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3688786631731004,-0.0042612982258568325
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.368255102143515,-0.0043094389066470435
1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36764907195247243,-0.0043568267141091506
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36705964056276924,-0.004403492635942883
1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3664859475841548,-0.004449465639961505
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3659271971599262,-0.004494772851266508
1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3653826517104791,-0.00453943971014546
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36485162641341323,-0.004583490113169913
1.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3643334843189918,-0.004626946539606254
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3638276320155385,-0.004669830164948841
1.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36333351577240813,-0.004712160963129329
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362850618098994,-0.0047539577987412394
1.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36237845466725793,-0.004795238510437193
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361916571552815,-0.004836019986502166
2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3614645427559437,-0.004876318233474983
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3610219679692299,-0.004916148438578556
2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3605884705630702,-0.004955525026623467
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3601636957640873,-0.004994461711967627
2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3597473090047764,-0.005032971546043471
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35933899442547856,-0.005071066960903655
2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35893845351216486,-0.005108759809182902
2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3585454038555624,-0.0051460614008279225
2.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.358159578018912,-0.005182982536907589
2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35778072250317544,-0.0052195335407803556
2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3574085967998225,-0.005255724286865882
2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3570429725224752,-0.00529156422724095
2.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35668363260968017,-0.0053270624162563545
2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3563303705919481,-0.005362227533350989
2.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35598298991695715,-0.005397067904221052
2,8.0,1.154918209684364,0.0549177364173955,17.44045184971274,True,0.08669953996812038,0.07880120300980094,0.3556413033274815,-0.005431591520486449
2,8.5,2.307503778335846,0.16311974188296482,34.46724220645985,True,0.14493224284979445,0.283171445819015,0.3553014341589596,-0.005466183819596532
2,9.0,3.0559121096049284,0.2398770795433416,34.14098898342512,False,0.1700361595685239,0.2650901715378943,0.35495826570185957,-0.005501369369046414
2,9.5,4.211460768347818,0.3702642899219475,33.590097174112955,False,0.2136388185913659,0.3700600724973345,0.35461865705690243,-0.00553644672377902
2,10.0,5.45037478479299,0.6208175343359618,33.11264285382725,False,0.2451269660592288,0.6918326817548928,0.35427756653403436,-0.005571936417560265
2,10.5,7.512181264108186,0.8978537648486834,32.610958188654386,False,0.3104924947554865,0.8724762957477167,0.3539255263524664,-0.005608840184728572
2,11.0,7.5940200226309855,1.0479200396547346,32.191027431198876,False,0.28089113841726265,0.9684828693743844,0.35356556501040676,-0.00564686541501233
2,11.5,7.607223407979664,0.9864439063296442,32.299949408642405,False,0.2863494721309043,0.7323055312776616,0.3532033986238104,-0.005685423238949766
2,12.0,7.7075109181946555,0.9686169468307083,32.33029115139237,False,0.29127590027520867,0.6531844562161296,0.352853934121785,-0.005722916210480954
2,12.5,7.7395009363468255,0.9767580653675146,32.21995657653744,False,0.28963096928324567,0.6200669034322829,0.3525114958566524,-0.005759931581829518
2,13.0,7.78035612067222,0.9922162018831454,32.30287289795942,False,0.2901426938515571,0.5752123236794271,0.3521739735594668,-0.005796685385876964
2,13.5,7.713834920611794,1.084263455292689,31.829476633258096,False,0.2586491106926779,0.4896583791429226,0.3518413744899684,-0.005833167296877024
2,14.0,7.502146997339343,1.1217280917671943,31.613689405708158,False,0.24402487441699217,0.4832214498192423,0.3515125956894936,-0.005869490057228581
2,14.5,7.14924997284728,1.0085952060021173,31.591719222934138,False,0.2336920990652524,0.34732302717260877,0.3511868525906175,-0.005905734323950414
2,15.0,6.528703204835532,0.8746432300762271,31.70966448431551,False,0.2147121746533984,0.21953866855861567,0.35087178857858686,-0.00594103556404501
2,15.5,5.076278933711861,0.6420690977720988,32.16741255327902,False,0.16710214058391637,0.09802764994346091,0.35056765701566456,-0.005975342367967854
