Site,project,year,NMSE(ET),MAE(ET),SD(ET),P5(ET),P95(ET),NMSE(An),MAE(An),SD(An),P5(An),P95(An),fname
Soroe,var_kmax,2002.0,0.3417982217522648,0.8726190069099549,0.5025594747147046,0.011130978662824307,1.666970146233414,0.07243807858518689,1.6050295116996072,0.11593025019420633,0.3159491374424097,2.27052937921669,Soroe_Farquhar_CP-Rlow_actual_2002.csv
Soroe,control,2002.0,0.09898203225208377,0.37588331309686257,0.16100057684832958,0.028609869064837007,0.4777565447081402,0.04974094509886176,1.3670195308710398,0.11323502136956574,0.047114067548652,1.7972878675592767,Soroe_Farquhar_CP-Rlow_actual_2002.csv
Soroe,var_kmax,2003.0,0.20606958482661394,0.6991912252408079,0.14575692700280118,0.0827122399739828,0.6031995910225678,0.09708781384805308,2.03915270234645,0.2349477758441003,0.2929708233141413,3.2483164116193315,Soroe_Farquhar_CP-Rlow_actual_2003.csv
Soroe,control,2003.0,0.17991889620629156,0.5773891832962379,0.13864911961285475,0.2069455096415036,0.5658813603001356,0.07548272304791087,1.857331138635251,0.2036474212490121,0.3052492112250458,2.835348307543846,Soroe_Farquhar_CP-Rlow_actual_2003.csv
Soroe,var_kmax_adjust_average,2002.0,0.4650872918441597,0.6634322463279342,0.4472276431280847,0.00735122407919936,1.2590344061493028,0.14404843627422306,2.1249460430745364,0.3139510694759262,0.04184242462230992,4.102625653654325,SoroeH_Farquhar_CP-Rlow_actual_2002.csv
Soroe,var_kmax_adjust_average,2003.0,0.8161511089395791,1.0124184870689017,0.5681767830040667,0.11858843387596918,2.1499221942416304,0.17713342235987076,2.3993374940003083,0.3533835170922845,0.3000353182632545,5.393931796025137,SoroeH_Farquhar_CP-Rlow_actual_2003.csv
Soroe,var_kmax_adjust_average,2002.0,0.6414038582063083,0.7481535884020952,0.4937653284971567,0.015056848802940144,1.3807873531242392,0.17610868965794574,2.3007533180406154,0.34190891071541785,0.04254868815625469,4.419507692659447,SoroeL_Farquhar_CP-Rlow_actual_2002.csv
Soroe,var_kmax_adjust_average,2003.0,1.0699543657374115,1.1106589146587458,0.6076583464030891,0.14800575544114414,2.3468922453711394,0.2103594547160756,2.5480309283254226,0.3765447854119832,0.3020211892182212,5.946069222832272,SoroeL_Farquhar_CP-Rlow_actual_2003.csv
Soroe,var_kmax_adjust_average,2002.0,0.4385958916579876,0.6481208521505722,0.4358647247829798,0.010172024121185508,1.2024515196744456,0.1395836443202244,2.098612943574273,0.30954012455167856,0.041566038224484465,4.050378619587788,Soroe_Farquhar_CP-Rlow_actual_2002.csv
Soroe,control,2002.0,0.09898203225208384,0.3758833130968627,0.16100057684832958,0.028609869064836983,0.4777565447081421,0.049740945098861775,1.36701953087104,0.11323502136956598,0.047114067548652,1.7972878675592767,Soroe_Farquhar_CP-Rlow_actual_2002.csv
